単語,意味
same,同じ、同一の
actually,実は、本当は
instant,即座の、緊急の、（食べ物が）即席の
by the way,ところで
experience,経験、体験
ramen,ラーメン
noodle,ヌードル、めん
golden,金色の、すばらしい
Singapore,シンガポール
arrive,到着する
soon,すぐに、まもなく
"the ""Golden Week"" holidays",ゴールデンウィーク
See you.,またね。
holiday,休日、休暇
flight,飛ぶこと、飛行、（飛行機の）便、空の旅
airport,空港、飛行場
Daniel,ダニエル[名]
will,～でしょう、～だろう、～するつもりだ
seafood,シーフード
Merlion Park,マーライオン公園
you'll,you will の短縮形
I'll,I will の短縮形
excited,わくわくした
reservation,予約
the Merlion,マーライオン
meter,メートル
weigh,～の重さがある
found,find の過去形
language,言語、言葉
example,例、実例
Malay,マレー語
for example,例えば
tall,[身長・高さを表す名詞のあとに用いて]身長[高さ]が～ある
ton,トン
find,～を見つける、発見する
dollar,ドル
communicate,連絡する、意思の疎通をする
Tamil,タミル語
painting,（絵の具でかいた）絵、絵画
surprised,驚いた、びっくりした
India,インド
culture,文化
Detective Conan,名探偵コナン
Little India,リトル・インディア
onion-shaped,タマネギ型の
wall,かべ
area,区域、場所、地域
mosque,モスク、イスラム教寺院
Chinatown,チャイナタウン
Hindu,ヒンズー教（の）
Arab Street,アラブ・ストリート
especially,特に、とりわけ
topping,トッピング
flavor,（独特な）味、（香りもふくめた）風味
salt,塩、食塩
order,～を注文する
various,いろいろな
soy sauce,しょうゆ
and so on,～など
speech,スピーチ、演説
if,【条件・仮定】もし～ならば
butter,バター
would love to,～したい（のですが）
sometime,いつか、そのうち
add,（…に）～を加える、足す
interested,興味を持っている
kind,種類
because,～だから、～なので
recommended,おすすめの
early,早く
be interested in,～に興味がある
~ kind(s) of …,～種類の…
forget,（～を）忘れる
 -based,～をベースにした
thick,濃い、どろっとした
manufacturer,製造業者、メーカー
sweet corn,スイートコーン
reflect,（物事・考えなど）を反映する
lives,life の複数形
chef,シェフ、コック長
variation,変化、変種
create,～を創造する、つくり出す
change,変わる、変化する
come from,～出身である、～から来ている
Here is ~.,これが～です。ここに～があります。～をどうぞ。
name ~ after …,…にちなんで（人など）を～と名づける
climate,気候
creativity,創造性[力]、独創性[力]
foreign,外国（へ[から]）の
Italy,イタリア
sauce,ソース
Naples,ナポリ[都市名]
traveler,旅行客
may,～してもよい
favor,親切な行為
menu,メニュー
ask ~ a favor,～にお願いする
Say cheese!,はい、チーズ！
resident,住民、居住者
ask,～に（…を）たのむ
could,can の過去形
How was ~?,～はどうでしたか。
show ~ around …,～を…のあちこちに案内する
make a reservation,予約をする
communicate with ~,～と連絡する、意思の疎通をする
one of ~,～の1つ[1人]
be sorry for ~,～について申し訳ありません
interesting book,おもしろい本
know about,～について知っている
be famous for,～で有名である
early in the morning,朝早くに
various [different] kinds of ~,いろいろな種類の～
May I ~?,～してもよいですか。
Could you ~?,～してくださいませんか。
All right.,いいですよ。
